[ 2014-02-28T16:16:08+08:00 ] /yuming/ | INFO: Tag[ app_begin ] --START--
[ 2014-02-28T16:16:08+08:00 ] /yuming/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001593s ]
[ 2014-02-28T16:16:08+08:00 ] /yuming/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001750s ]
[ 2014-02-28T16:16:14+08:00 ] /yuming/ | SQL: SHOW COLUMNS FROM `domain` [ RunTime:0.180295s ]
[ 2014-02-28T16:16:14+08:00 ] /yuming/ | SQL: SELECT `id`,`name`,`org`,`uts` FROM `domain` ORDER BY id asc LIMIT 30   [ RunTime:0.178617s ]
[ 2014-02-28T16:16:14+08:00 ] /yuming/ | INFO: Tag[ view_template ] --START--
[ 2014-02-28T16:16:14+08:00 ] /yuming/ | INFO: Run LocationTemplate Behavior [ RunTime:0.004190s ]
[ 2014-02-28T16:16:14+08:00 ] /yuming/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.004332s ]
[ 2014-02-28T16:16:14+08:00 ] /yuming/ | INFO: Tag[ view_parse ] --START--
[ 2014-02-28T16:16:14+08:00 ] /yuming/ | INFO: Run ParseTemplate Behavior [ RunTime:0.064513s ]
[ 2014-02-28T16:16:14+08:00 ] /yuming/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.064629s ]
[ 2014-02-28T16:16:14+08:00 ] /yuming/ | INFO: Tag[ view_filter ] --START--
[ 2014-02-28T16:16:14+08:00 ] /yuming/ | INFO: Run ContentReplace Behavior [ RunTime:0.004427s ]
[ 2014-02-28T16:16:14+08:00 ] /yuming/ | INFO: Run TokenBuild Behavior [ RunTime:0.001639s ]
[ 2014-02-28T16:16:14+08:00 ] /yuming/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001190s ]
[ 2014-02-28T16:16:14+08:00 ] /yuming/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001326s ]
[ 2014-02-28T16:16:14+08:00 ] /yuming/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.008792s ]
[ 2014-02-28T16:16:14+08:00 ] /yuming/ | INFO: Tag[ view_end ] --START--
[ 2014-02-28T16:16:14+08:00 ] /yuming/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.003448s ]
[ 2014-02-28T16:16:14+08:00 ] /yuming/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.003527s ]
[ 2014-02-28T16:16:23+08:00 ] /yuming/ | INFO: Tag[ app_begin ] --START--
[ 2014-02-28T16:16:23+08:00 ] /yuming/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000508s ]
[ 2014-02-28T16:16:23+08:00 ] /yuming/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000603s ]
[ 2014-02-28T16:16:29+08:00 ] /yuming/ | SQL: SHOW COLUMNS FROM `domain` [ RunTime:0.179968s ]
[ 2014-02-28T16:16:29+08:00 ] /yuming/ | SQL: SELECT `id`,`name`,`org`,`uts` FROM `domain` ORDER BY id asc LIMIT 30   [ RunTime:0.179286s ]
[ 2014-02-28T16:16:29+08:00 ] /yuming/ | INFO: Tag[ view_template ] --START--
