[ 2014-03-01T18:43:46+08:00 ] /yuming/ | ERR: (ThinkException) Can't connect to MySQL server on '192.253.225.115' (10060)
[ 2014-03-01T18:44:33+08:00 ] /yuming/ | ERR: (ThinkException) Can't connect to MySQL server on '192.253.225.115' (10060)
[ 2014-03-01T18:46:26+08:00 ] /yuming/ | ERR: (ThinkException) Can't connect to MySQL server on '192.253.225.115' (10060)
[ 2014-03-01T18:51:38+08:00 ] /yuming/ | INFO: Tag[ app_begin ] --START--
[ 2014-03-01T18:51:38+08:00 ] /yuming/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001663s ]
[ 2014-03-01T18:51:38+08:00 ] /yuming/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001809s ]
[ 2014-03-01T18:51:38+08:00 ] /yuming/ | SQL: SHOW COLUMNS FROM `domain` [ RunTime:0.013312s ]
[ 2014-03-01T18:51:38+08:00 ] /yuming/ | SQL: SELECT `id`,`name`,`org`,`uts` FROM `domain` ORDER BY id asc LIMIT 30   [ RunTime:0.000487s ]
[ 2014-03-01T18:51:38+08:00 ] /yuming/ | INFO: Tag[ view_template ] --START--
[ 2014-03-01T18:51:38+08:00 ] /yuming/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002695s ]
[ 2014-03-01T18:51:38+08:00 ] /yuming/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002784s ]
[ 2014-03-01T18:51:38+08:00 ] /yuming/ | INFO: Tag[ view_parse ] --START--
[ 2014-03-01T18:51:38+08:00 ] /yuming/ | INFO: Run ParseTemplate Behavior [ RunTime:0.114533s ]
[ 2014-03-01T18:51:38+08:00 ] /yuming/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.114661s ]
[ 2014-03-01T18:51:38+08:00 ] /yuming/ | INFO: Tag[ view_filter ] --START--
[ 2014-03-01T18:51:38+08:00 ] /yuming/ | INFO: Run ContentReplace Behavior [ RunTime:0.001596s ]
[ 2014-03-01T18:51:38+08:00 ] /yuming/ | INFO: Run TokenBuild Behavior [ RunTime:0.001893s ]
[ 2014-03-01T18:51:38+08:00 ] /yuming/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002068s ]
[ 2014-03-01T18:51:38+08:00 ] /yuming/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002309s ]
[ 2014-03-01T18:51:38+08:00 ] /yuming/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.008194s ]
[ 2014-03-01T18:51:38+08:00 ] /yuming/ | INFO: Tag[ view_end ] --START--
[ 2014-03-01T18:51:38+08:00 ] /yuming/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002131s ]
[ 2014-03-01T18:51:38+08:00 ] /yuming/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002307s ]
[ 2014-03-01T19:04:47+08:00 ] /yuming/ | INFO: Tag[ app_begin ] --START--
[ 2014-03-01T19:04:47+08:00 ] /yuming/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001635s ]
[ 2014-03-01T19:04:47+08:00 ] /yuming/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001779s ]
[ 2014-03-01T19:04:47+08:00 ] /yuming/ | SQL: SHOW COLUMNS FROM `domain` [ RunTime:0.005000s ]
[ 2014-03-01T19:04:47+08:00 ] /yuming/ | SQL: SELECT COUNT(*) AS tp_count FROM `domain` LIMIT 1   [ RunTime:0.022587s ]
[ 2014-03-01T19:04:47+08:00 ] /yuming/ | SQL: SELECT `id`,`name`,`org`,`uts` FROM `domain` ORDER BY id asc LIMIT 30   [ RunTime:0.000376s ]
[ 2014-03-01T19:04:47+08:00 ] /yuming/ | INFO: Tag[ view_template ] --START--
[ 2014-03-01T19:04:47+08:00 ] /yuming/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002785s ]
[ 2014-03-01T19:04:47+08:00 ] /yuming/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002874s ]
