[ 2014-03-02T00:02:54+08:00 ] /yuming/?&p=2906 | INFO: Tag[ app_begin ] --START--
[ 2014-03-02T00:02:54+08:00 ] /yuming/?&p=2906 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.065126s ]
[ 2014-03-02T00:02:54+08:00 ] /yuming/?&p=2906 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.098062s ]
[ 2014-03-02T00:02:54+08:00 ] /yuming/?&p=2906 | SQL: SHOW COLUMNS FROM `domain` [ RunTime:0.193043s ]
[ 2014-03-02T00:02:54+08:00 ] /yuming/?&p=2906 | SQL: SELECT COUNT(*) AS tp_count FROM `domain` LIMIT 1   [ RunTime:0.069879s ]
[ 2014-03-02T00:02:54+08:00 ] /yuming/?&p=2906 | SQL: SELECT `id`,`name`,`org`,`uts` FROM `domain` ORDER BY id asc LIMIT 58100,20   [ RunTime:0.040761s ]
[ 2014-03-02T00:02:54+08:00 ] /yuming/?&p=2906 | INFO: Tag[ view_template ] --START--
[ 2014-03-02T00:02:54+08:00 ] /yuming/?&p=2906 | INFO: Run LocationTemplate Behavior [ RunTime:0.022800s ]
[ 2014-03-02T00:02:54+08:00 ] /yuming/?&p=2906 | INFO: Tag[ view_template ] --END-- [ RunTime:0.022947s ]
[ 2014-03-02T00:02:54+08:00 ] /yuming/?&p=2906 | INFO: Tag[ view_parse ] --START--
[ 2014-03-02T00:02:55+08:00 ] /yuming/?&p=2906 | INFO: Run ParseTemplate Behavior [ RunTime:0.235153s ]
[ 2014-03-02T00:02:55+08:00 ] /yuming/?&p=2906 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.235292s ]
[ 2014-03-02T00:02:55+08:00 ] /yuming/?&p=2906 | INFO: Tag[ view_filter ] --START--
[ 2014-03-02T00:02:55+08:00 ] /yuming/?&p=2906 | INFO: Run ContentReplace Behavior [ RunTime:0.006748s ]
[ 2014-03-02T00:02:55+08:00 ] /yuming/?&p=2906 | INFO: Run TokenBuild Behavior [ RunTime:0.017759s ]
[ 2014-03-02T00:02:55+08:00 ] /yuming/?&p=2906 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.005609s ]
[ 2014-03-02T00:02:55+08:00 ] /yuming/?&p=2906 | INFO: Run ShowRuntime Behavior [ RunTime:0.006932s ]
[ 2014-03-02T00:02:55+08:00 ] /yuming/?&p=2906 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.037457s ]
[ 2014-03-02T00:02:55+08:00 ] /yuming/?&p=2906 | INFO: Tag[ view_end ] --START--
[ 2014-03-02T00:02:55+08:00 ] /yuming/?&p=2906 | INFO: Run ShowPageTrace Behavior [ RunTime:0.021481s ]
[ 2014-03-02T00:02:55+08:00 ] /yuming/?&p=2906 | INFO: Tag[ view_end ] --END-- [ RunTime:0.021603s ]
[ 2014-03-02T00:02:59+08:00 ] /yuming/?&p=1 | INFO: Tag[ app_begin ] --START--
[ 2014-03-02T00:02:59+08:00 ] /yuming/?&p=1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000899s ]
[ 2014-03-02T00:02:59+08:00 ] /yuming/?&p=1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001094s ]
[ 2014-03-02T00:02:59+08:00 ] /yuming/?&p=1 | SQL: SHOW COLUMNS FROM `domain` [ RunTime:0.015251s ]
[ 2014-03-02T00:02:59+08:00 ] /yuming/?&p=1 | SQL: SELECT COUNT(*) AS tp_count FROM `domain` LIMIT 1   [ RunTime:0.020802s ]
[ 2014-03-02T00:02:59+08:00 ] /yuming/?&p=1 | SQL: SELECT `id`,`name`,`org`,`uts` FROM `domain` ORDER BY id asc LIMIT 0,20   [ RunTime:0.000434s ]
[ 2014-03-02T00:02:59+08:00 ] /yuming/?&p=1 | INFO: Tag[ view_template ] --START--
[ 2014-03-02T00:02:59+08:00 ] /yuming/?&p=1 | INFO: Run LocationTemplate Behavior [ RunTime:0.000757s ]
[ 2014-03-02T00:02:59+08:00 ] /yuming/?&p=1 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000839s ]
[ 2014-03-02T00:02:59+08:00 ] /yuming/?&p=1 | INFO: Tag[ view_parse ] --START--
[ 2014-03-02T00:02:59+08:00 ] /yuming/?&p=1 | INFO: Run ParseTemplate Behavior [ RunTime:0.011268s ]
[ 2014-03-02T00:02:59+08:00 ] /yuming/?&p=1 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011387s ]
[ 2014-03-02T00:02:59+08:00 ] /yuming/?&p=1 | INFO: Tag[ view_filter ] --START--
[ 2014-03-02T00:02:59+08:00 ] /yuming/?&p=1 | INFO: Run ContentReplace Behavior [ RunTime:0.000451s ]
[ 2014-03-02T00:02:59+08:00 ] /yuming/?&p=1 | INFO: Run TokenBuild Behavior [ RunTime:0.000487s ]
[ 2014-03-02T00:02:59+08:00 ] /yuming/?&p=1 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000298s ]
[ 2014-03-02T00:02:59+08:00 ] /yuming/?&p=1 | INFO: Run ShowRuntime Behavior [ RunTime:0.000512s ]
[ 2014-03-02T00:02:59+08:00 ] /yuming/?&p=1 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001953s ]
[ 2014-03-02T00:02:59+08:00 ] /yuming/?&p=1 | INFO: Tag[ view_end ] --START--
[ 2014-03-02T00:02:59+08:00 ] /yuming/?&p=1 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000519s ]
[ 2014-03-02T00:02:59+08:00 ] /yuming/?&p=1 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000591s ]
